Word,Frequency,Frequency (%)
novaya,1,0.00
novel,1,0.00
lillis,1,0.00
novels576,1,0.00
liu,1,0.00
littlefield,1,0.00
lithic,1,0.00
novgorod66,1,0.00
novgorodian,1,0.00
novgorodians,1,0.00
novorossiysk,1,0.00
list519,1,0.00
lissner,1,0.00
lissitzkys,1,0.00
lissitzky544,1,0.00
nuclearweapons,1,0.00
liquid,1,0.00
oloughlin,1,0.00
okroshka,1,0.00
liberalisation,1,0.00
okrugs,1,0.00
oksana,1,0.00
okudzhava561,1,0.00
liability,1,0.00
li,1,0.00
olegovna,1,0.00
oleh,1,0.00
olena,1,0.00
lexicon,1,0.00
oligarchs171,1,0.00
oligarchy329,1,0.00
olivier,1,0.00
lewis,1,0.00
okhotsk,1,0.00
levitzky,1,0.00
level492,1,0.00
level224,1,0.00
olympicscom,1,0.00
ombudsman,1,0.00
letters,1,0.00
letopisi,1,0.00
once,1,0.00
leslie,1,0.00
oneeighth,1,0.00
lesiv,1,0.00
onefifth,1,0.00
onefourth,1,0.00
onega,1,0.00
lidov,1,0.00
likka,1,0.00
occupy,1,0.00
occupying,1,0.00
occurring,1,0.00
ocean,1,0.00
likely,1,0.00
ocean78,1,0.00
oceanic,1,0.00
oceans216,1,0.00
lightemitting,1,0.00
lifted,1,0.00
oceans233,1,0.00
lifar,1,0.00
lies,1,0.00
odd,1,0.00
norvanreportscom,1,0.00
off214215,1,0.00
lidn,1,0.00
lichens,1,0.00
libraries,1,0.00
libor,1,0.00
offer,1,0.00
liberties,1,0.00
officials,1,0.00
liberated,1,0.00
ogonek,1,0.00
oilpricecom,1,0.00
oilprices,1,0.00
oium,1,0.00
liberalism,1,0.00
neftegazrucom,1,0.00
naylor,1,0.00
nazarenko,1,0.00
lows,1,0.00
nazik,1,0.00
lowest368,1,0.00
nazis135272,1,0.00
nazisoviet,1,0.00
nbc,1,0.00
neanderthals,1,0.00
near,1,0.00
nebraska,1,0.00
need,1,0.00
needed,1,0.00
needs,1,0.00
nefedova,1,0.00
navy,1,0.00
negotiating,1,0.00
negotiations,1,0.00
neighbours,1,0.00
nekrasov,1,0.00
nemesis,1,0.00
neobyzantine,1,0.00
neoempire,1,0.00
neohindu,1,0.00
neopaganism476,1,0.00
lowe,1,0.00
neopaganism477,1,0.00
neotheosophical,1,0.00
netherlands,1,0.00
neuhuser,1,0.00
nationalist,1,0.00
myroslava,1,0.00
nabokov,1,0.00
nabokov587,1,0.00
nadezhda,1,0.00
nadin,1,0.00
nakashima,1,0.00
namely,1,0.00
names,1,0.00
naming,1,0.00
napoleonic,1,0.00
naryshkin,1,0.00
nasonkin,1,0.00
natalia,1,0.00
natalya,1,0.00
nathan,1,0.00
neumann,1,0.00
ludmila,1,0.00
lucan,1,0.00
nationality,1,0.00
nations465,1,0.00
nations499,1,0.00
nationschristian,1,0.00
nationsg20,1,0.00
nationsrussianspeaking,1,0.00
nationwide622,1,0.00
nato,1,0.00
nato153,1,0.00
natohave,1,0.00
navalny,1,0.00
navigate,1,0.00
log,1,0.00
ninth,1,0.00
ninthlargest,1,0.00
ninthmost,1,0.00
longacknowledged,1,0.00
noemi,1,0.00
nomads,1,0.00
logos,1,0.00
logan,1,0.00
nominally,1,0.00
nonalcoholic,1,0.00
noneuclidean,1,0.00
nonfiction,1,0.00
nongovernmental,1,0.00
nonischaemic,1,0.00
nonprofit,1,0.00
nina,1,0.00
nonpublic,1,0.00
locus,1,0.00
nonrussian,1,0.00
nontraditional,1,0.00
location,1,0.00
nordenfelt,1,0.00
normal,1,0.00
located,1,0.00
norman,1,0.00
norse,1,0.00
northeast49,1,0.00
locally,1,0.00
localized,1,0.00
northwestern,1,0.00
nichol,1,0.00
lovell,1,0.00
nevada,1,0.00
nevskiis,1,0.00
nevsky,1,0.00
newly,1,0.00
lost,1,0.00
losseshowever,1,0.00
newspapers,1,0.00
newsweek,1,0.00
newzoo,1,0.00
losses,1,0.00
losev,1,0.00
neznaika,1,0.00
ngos,1,0.00
onequarter,1,0.00
looms,1,0.00
looking,1,0.00
look,1,0.00
nicholass,1,0.00
longterm,1,0.00
longitudes,1,0.00
niece,1,0.00
night,1,0.00
nightmare,1,0.00
nik,1,0.00
nikita,1,0.00
niklas,1,0.00
niklaus,1,0.00
nikolayevich,1,0.00
taman,1,0.00
tatarstan,1,0.00
tarock,1,0.00
tariq,1,0.00
tariffs,1,0.00
taratukhina,1,0.00
taras,1,0.00
taranovski,1,0.00
tapestry,1,0.00
tanya,1,0.00
tandemocracy194,1,0.00
tamkin,1,0.00
tatu,1,0.00
tallest,1,0.00
talks,1,0.00
talk,1,0.00
tales,1,0.00
talent,1,0.00
taking,1,0.00
takeover,1,0.00
taimazov,1,0.00
tad,1,0.00
tacc,1,0.00
technological,1,0.00
tentlike,1,0.00
tenthmost,1,0.00
tenthhighest,1,0.00
tenth,1,0.00
tentative,1,0.00
tent,1,0.00
tension,1,0.00
temps,1,0.00
tempered,1,0.00
temperatures233,1,0.00
teetotal,1,0.00
table,1,0.00
techniques,1,0.00
teatime,1,0.00
teare,1,0.00
teams645,1,0.00
teaching,1,0.00
teachers,1,0.00
tea,1,0.00
tb,1,0.00
taxes,1,0.00
tatu568,1,0.00
survives,1,0.00
sviridov,1,0.00
sviatoslav,1,0.00
sverdlovsk,1,0.00
svendsen,1,0.00
svein,1,0.00
svante,1,0.00
suzdal,1,0.00
suspected,1,0.00
susanne,1,0.00
susan,1,0.00
surviving,1,0.00
sviridov562,1,0.00
survivable,1,0.00
survey305,1,0.00
surrounding,1,0.00
surrendered140,1,0.00
surge,1,0.00
supreme,1,0.00
suppression,1,0.00
suppress,1,0.00
supporting,1,0.00
supportedbut,1,0.00
synchronized,1,0.00
ta,1,0.00
szymon,1,0.00
szporluk,1,0.00
systems421,1,0.00
systematic,1,0.00
system202,1,0.00
syrniki,1,0.00
syrian,1,0.00
synthesis422,1,0.00
synthesis,1,0.00
synodal,1,0.00
tereshkova,1,0.00
synchronised,1,0.00
symposium,1,0.00
symbolism,1,0.00
symbolic,1,0.00
swept,1,0.00
sweeping,1,0.00
swedes,1,0.00
swapan,1,0.00
swanstrm,1,0.00
swan,1,0.00
titov,1,0.00
tomb,1,0.00
tom,1,0.00
tolyatti,1,0.00
tolstoys,1,0.00
tolly,1,0.00
toll,1,0.00
today629630,1,0.00
tobias,1,0.00
tobacco,1,0.00
tld,1,0.00
tkatcheva,1,0.00
tomsk,1,0.00
tipple,1,0.00
timofeyev,1,0.00
timeline,1,0.00
time127,1,0.00
tim,1,0.00
tikhonov,1,0.00
tikhomirov,1,0.00
tiezzi,1,0.00
thrown,1,0.00
throne,1,0.00
total655,1,0.00
transactions,1,0.00
tragic,1,0.00
traditionally,1,0.00
trademark,1,0.00
trade72,1,0.00
tracks,1,0.00
traces,1,0.00
trace,1,0.00
tr,1,0.00
tourismgovru,1,0.00
touchstone,1,0.00
throes,1,0.00
tosten,1,0.00
torture,1,0.00
toronto,1,0.00
topsecret,1,0.00
topography,1,0.00
topographic,1,0.00
topic,1,0.00
toombs,1,0.00
tool,1,0.00
tons,1,0.00
tesakov,1,0.00
theatrical,1,0.00
theatre,1,0.00
thaw155,1,0.00
thaw,1,0.00
thatcher,1,0.00
thanks,1,0.00
tf,1,0.00
textbooks,1,0.00
tetyana,1,0.00
testing,1,0.00
teslova,1,0.00
theme,1,0.00
tertiary,1,0.00
terry,1,0.00
terrorists100,1,0.00
terrorism208,1,0.00
terrorism,1,0.00
terror113,1,0.00
territoriesstates,1,0.00
terrain,1,0.00
termination,1,0.00
terminates,1,0.00
thirdhighest434,1,0.00
threw,1,0.00
threats,1,0.00
thousand494,1,0.00
thought510511,1,0.00
thought,1,0.00
though,1,0.00
thoroughly,1,0.00
thiseas,1,0.00
thirteenthlargest,1,0.00
thirlwell,1,0.00
thirdlongest,1,0.00
supplying,1,0.00
thinking,1,0.00
things,1,0.00
thin,1,0.00
thibaut,1,0.00
therapy170,1,0.00
theosophy,1,0.00
theosophical,1,0.00
theory423,1,0.00
theoretician,1,0.00
themselves,1,0.00
spacecom,1,0.00
specimen,1,0.00
specially,1,0.00
speaking,1,0.00
speakers,1,0.00
sparsely,1,0.00
spans,1,0.00
spain,1,0.00
spacexs,1,0.00
spacex,1,0.00
spaceman,1,0.00
spaceflight,1,0.00
specimens,1,0.00
space631,1,0.00
space534,1,0.00
soyuz,1,0.00
soybeans,1,0.00
sown,1,0.00
sovietafghan,1,0.00
sova,1,0.00
southwestern,1,0.00
southwest49,1,0.00
southeastas,1,0.00
spreading,1,0.00
stanislav,1,0.00
stanford,1,0.00
stands,1,0.00
standards,1,0.00
standardization,1,0.00
stalinist,1,0.00
stalinism,1,0.00
stabilization,1,0.00
stability,1,0.00
square528,1,0.00
spurred,1,0.00
southeast,1,0.00
spotlight,1,0.00
sportingcska,1,0.00
sport643,1,0.00
sport514,1,0.00
splurge,1,0.00
splendid,1,0.00
spirit,1,0.00
spies,1,0.00
spicy,1,0.00
spectrum,1,0.00
slaviceurasian,1,0.00
smallest,1,0.00
smale,1,0.00
sm,1,0.00
slund,1,0.00
slivers,1,0.00
slightly,1,0.00
slepchenko,1,0.00
slavsmainly,1,0.00
slavs458,1,0.00
slavs2021,1,0.00
slavists,1,0.00
smithsonian,1,0.00
slatkin,1,0.00
slate,1,0.00
skyscrapers443,1,0.00
skyrocketed173174,1,0.00
skirmishes,1,0.00
sjr,1,0.00
sizzling,1,0.00
sizov,1,0.00
siyaset,1,0.00
sixyear,1,0.00
soldier516,1,0.00
south219,1,0.00
sopka,1,0.00
sophia,1,0.00
sonnenfeld,1,0.00
songwriter,1,0.00
songs,1,0.00
somerville,1,0.00
solyanka,1,0.00
solve,1,0.00
solutions,1,0.00
solo,1,0.00
stark,1,0.00
sokolsky,1,0.00
sokolov,1,0.00
soil,1,0.00
socioeconomic,1,0.00
society594,1,0.00
sochi653654,1,0.00
sochi495,1,0.00
snyder,1,0.00
snack,1,0.00
smorodinskaya,1,0.00
structured,1,0.00
subjectsi,1,0.00
subjects262,1,0.00
subjected,1,0.00
subdued,1,0.00
style585,1,0.00
style553,1,0.00
style552,1,0.00
stuffed,1,0.00
studia,1,0.00
studi,1,0.00
student,1,0.00
submarines,1,0.00
stronski,1,0.00
strongman,1,0.00
strongly,1,0.00
stroganoff606266,1,0.00
strips,1,0.00
stripped,1,0.00
strikes,1,0.00
stretches,1,0.00
strengthened,1,0.00
street,1,0.00
sullivan,1,0.00
supplementary,1,0.00
supertraditional,1,0.00
superstar,1,0.00
superpower372,1,0.00
superpower148,1,0.00
supereasy,1,0.00
sungir,1,0.00
sunday535,1,0.00
summit,1,0.00
summers,1,0.00
summary,1,0.00
stravinsky,1,0.00
sukhoi,1,0.00
suhara,1,0.00
suggest,1,0.00
sudebnik,1,0.00
succession,1,0.00
subtropics238,1,0.00
subtropical,1,0.00
substantially,1,0.00
subnational,1,0.00
submarines298,1,0.00
statementpermission,1,0.00
statuses,1,0.00
stations,1,0.00
station466,1,0.00
station433,1,0.00
static,1,0.00
stateterritorial,1,0.00
states381382,1,0.00
states277,1,0.00
states19,1,0.00
states150,1,0.00
states131,1,0.00
statutes,1,0.00
state49,1,0.00
state246,1,0.00
state192,1,0.00
state11,1,0.00
state107,1,0.00
starved,1,0.00
starvation,1,0.00
starts,1,0.00
starr,1,0.00
starov,1,0.00
stewardson,1,0.00
stratigraphy,1,0.00
strakhovsky,1,0.00
straits,1,0.00
strait80,1,0.00
strait,1,0.00
story,1,0.00
stolfi,1,0.00
stockholm,1,0.00
stimulate,1,0.00
stews,1,0.00
transcaucasian,1,0.00
steppes,1,0.00
stengel,1,0.00
stella,1,0.00
steinberg,1,0.00
steffen,1,0.00
steensma,1,0.00
steel,1,0.00
steamrollered,1,0.00
steamrolled,1,0.00
stay,1,0.00
wellerstein,1,0.00
whereas,1,0.00
wheat399400,1,0.00
whalen,1,0.00
wet,1,0.00
westminster,1,0.00
westernmost,1,0.00
westad,1,0.00
wessman,1,0.00
wesleyan,1,0.00
went,1,0.00
wendy,1,0.00
wherein,1,0.00
welcome,1,0.00
weinryb,1,0.00
weihmann,1,0.00
wehrmacht,1,0.00
wegren,1,0.00
weeks,1,0.00
websters,1,0.00
web,1,0.00
wealth,1,0.00
weakness,1,0.00
wikiquote,1,0.00
wills,1,0.00
williamson,1,0.00
wilhelmsen,1,0.00
wildlife,1,0.00
wildfires236,1,0.00
wildfires,1,0.00
wildest,1,0.00
wild,1,0.00
wiktionary,1,0.00
wikivoyage,1,0.00
wikiversity,1,0.00
weak,1,0.00
wikipedias,1,0.00
wikinews,1,0.00
wikidata,1,0.00
wikibooks,1,0.00
wields,1,0.00
wielding,1,0.00
wideranging,1,0.00
wide,1,0.00
whole,1,0.00
whiteman,1,0.00
wageningen,1,0.00
war102,1,0.00
wants,1,0.00
want,1,0.00
wang,1,0.00
waned,1,0.00
walter,1,0.00
wall,1,0.00
walking,1,0.00
walker,1,0.00
wakata,1,0.00
wagg,1,0.00
war108,1,0.00
wadhams,1,0.00
vysotsky,1,0.00
vyacheslav,1,0.00
vv,1,0.00
vucinich,1,0.00
voyce,1,0.00
voyagesearly,1,0.00
voted,1,0.00
voskhod,1,0.00
volunteer,1,0.00
warriors,1,0.00
we,1,0.00
waves,1,0.00
wave,1,0.00
watson,1,0.00
watkins,1,0.00
water229,1,0.00
water222,1,0.00
watched,1,0.00
wassily,1,0.00
warwick,1,0.00
wars323324,1,0.00
wilsgaard,1,0.00
warming,1,0.00
warmest,1,0.00
warm,1,0.00
warlike,1,0.00
warfare45,1,0.00
war98,1,0.00
war96,1,0.00
war189,1,0.00
war160,1,0.00
war143,1,0.00
yekelchyk,1,0.00
your,1,0.00
youngest,1,0.00
youll,1,0.00
yongsheng,1,0.00
ylmaz,1,0.00
yields,1,0.00
yevgeny,1,0.00
yet,1,0.00
yenisey,1,0.00
yeltsins,1,0.00
yektsubm,1,0.00
yugyd,1,0.00
yekaterina,1,0.00
yegorov,1,0.00
years633,1,0.00
years492,1,0.00
years10,1,0.00
yearbook,1,0.00
yaroslavl,1,0.00
yar,1,0.00
yalta,1,0.00
yahoo,1,0.00
zhengrong,1,0.00
zwyns,1,0.00
zubovicheady,1,0.00
zond,1,0.00
zoe,1,0.00
zitadelle,1,0.00
ziryan,1,0.00
zinovievs,1,0.00
zinoviev,1,0.00
zimmermann,1,0.00
zhukovsky,1,0.00
zhernakova,1,0.00
yaffa,1,0.00
zheludev,1,0.00
zenkovsky,1,0.00
zenith,1,0.00
zelenska,1,0.00
zaverskiy,1,0.00
zamyatin,1,0.00
zadoks,1,0.00
zabaykalsky,1,0.00
yv,1,0.00
yuriy,1,0.00
withdrawn,1,0.00
wood,1,0.00
woo,1,0.00
women,1,0.00
woman450,1,0.00
woman,1,0.00
wolowyna,1,0.00
wolfe,1,0.00
wladyslaw,1,0.00
wjcik,1,0.00
wittgenstein,1,0.00
witmer,1,0.00
woodcraft,1,0.00
withdrawal,1,0.00
withdraw,1,0.00
wise,1,0.00
wirtz,1,0.00
wired,1,0.00
winters233,1,0.00
winston,1,0.00
winner,1,0.00
wines,1,0.00
wind,1,0.00
wresting,1,0.00
xlsx,1,0.00
xls,1,0.00
xi,1,0.00
wwwkommersantru,1,0.00
wto,1,0.00
written,1,0.00
writings,1,0.00
writers588,1,0.00
writer,1,0.00
wright,1,0.00
volume,1,0.00
wrangel,1,0.00
wounding,1,0.00
wortman,1,0.00
worth,1,0.00
worst,1,0.00
worldnuclearorg,1,0.00
worldespecially,1,0.00
world362,1,0.00
workplace,1,0.00
words,1,0.00
uk,1,0.00
undeclared,1,0.00
unconstitutional250,1,0.00
unbowed,1,0.00
unaffiliated,1,0.00
unable,1,0.00
ulasiuk,1,0.00
ukrainian469,1,0.00
ukrainesometimes,1,0.00
ukraine268,1,0.00
ukraine1,1,0.00
ukha,1,0.00
underestimated473,1,0.00
ufa,1,0.00
udmurtia,1,0.00
ucb,1,0.00
uatsdin,1,0.00
u,1,0.00
tyutchev,1,0.00
typical,1,0.00
types,1,0.00
tyler,1,0.00
twothirds,1,0.00
unfriendly,1,0.00
university493,1,0.00
unions,1,0.00
unionmember,1,0.00
union530,1,0.00
union516,1,0.00
union168,1,0.00
union165,1,0.00
union148,1,0.00
union133,1,0.00
union124,1,0.00
uniformity,1,0.00
twice251h,1,0.00
unfair,1,0.00
unexpectedly,1,0.00
unescocepes,1,0.00
undoing,1,0.00
undertaken,1,0.00
understanding,1,0.00
underscores,1,0.00
underground,1,0.00
undergone,1,0.00
undergoes,1,0.00
trend554,1,0.00
troops198,1,0.00
troops10,1,0.00
troop,1,0.00
troika,1,0.00
trofim,1,0.00
trisvyatsky,1,0.00
tristan,1,0.00
triggered,1,0.00
tries,1,0.00
tributes,1,0.00
tretyakov,1,0.00
trotskyism,1,0.00
trend,1,0.00
trenches,1,0.00
treisman,1,0.00
treasured,1,0.00
treason,1,0.00
transporting,1,0.00
translation,1,0.00
translate,1,0.00
transitional,1,0.00
transcript,1,0.00
turkish,1,0.00
twice,1,0.00
twentyfirst,1,0.00
twentieth,1,0.00
twelve,1,0.00
tvorogov,1,0.00
tver,1,0.00
tuva473,1,0.00
tutor,1,0.00
turns,1,0.00
turmoil,1,0.00
turks,1,0.00
unlike,1,0.00
turchin,1,0.00
tsiolkovsky,1,0.00
tsetskhladze,1,0.00
tsars,1,0.00
tsarism,1,0.00
trustees,1,0.00
truism,1,0.00
trubikhin,1,0.00
trt,1,0.00
trotskyism596,1,0.00
vg,1,0.00
vinegret,1,0.00
vikramaditya,1,0.00
viking,1,0.00
views,1,0.00
video,1,0.00
victories,1,0.00
victor,1,0.00
victims116,1,0.00
victims,1,0.00
vibrant,1,0.00
vi,1,0.00
vinegret611,1,0.00
vexillology,1,0.00
vesti,1,0.00
vertovs,1,0.00
vertov,1,0.00
vertikal,1,0.00
version,1,0.00
vernadskys,1,0.00
vernadsky,1,0.00
vergopolan,1,0.00
verge,1,0.00
vladimirsuzdal641120,1,0.00
volokh,1,0.00
volgaural,1,0.00
volgadnieper,1,0.00
volga70,1,0.00
volcano,1,0.00
volcanism,1,0.00
vocational,1,0.00
vn,1,0.00
vm,1,0.00
vlasov,1,0.00
vladivostok365,1,0.00
venus430,1,0.00
vitalii,1,0.00
vitale,1,0.00
visual,1,0.00
vissarion,1,0.00
visits437,1,0.00
vishny,1,0.00
virtually,1,0.00
violently,1,0.00
violators,1,0.00
viola,1,0.00
urges,1,0.00
valery,1,0.00
valerie,1,0.00
valentin,1,0.00
vadim,1,0.00
utter,1,0.00
utc2,1,0.00
utc,1,0.00
using,1,0.00
ushering,1,0.00
usa,1,0.00
urheimat,1,0.00
valkenier,1,0.00
urbanization,1,0.00
urbanised,1,0.00
upsurge,1,0.00
upon,1,0.00
update,1,0.00
untitled,1,0.00
unstable,1,0.00
unrecognised,1,0.00
unprecedented,1,0.00
unlimited,1,0.00
vastly,1,0.00
venue,1,0.00
vendors,1,0.00
vendl,1,0.00
vehicles,1,0.00
vegetables,1,0.00
vegetable,1,0.00
vegas,1,0.00
ve,1,0.00
vaulted,1,0.00
vatchagaev,1,0.00
sixthlargest351,1,0.00
vasiliy,1,0.00
vasili,1,0.00
vasilevich,1,0.00
vascular,1,0.00
variety,1,0.00
varieties599,1,0.00
variant,1,0.00
varangians,1,0.00
varangian,1,0.00
valuable,1,0.00
publications,1,0.00
put,1,0.00
pushkins,1,0.00
push,1,0.00
purse,1,0.00
purposes,1,0.00
purge122,1,0.00
purest,1,0.00
pure,1,0.00
punishment570,1,0.00
pugacheva563,1,0.00
publius,1,0.00
putin187,1,0.00
prytula,1,0.00
provided,1,0.00
provide,1,0.00
proven,1,0.00
proun,1,0.00
protouralic,1,0.00
protoindoeuropeans41,1,0.00
protocol,1,0.00
protg,1,0.00
protests309310,1,0.00
quaternary,1,0.00
raft,1,0.00
raeff,1,0.00
radonezh,1,0.00
radiogeology414,1,0.00
radiocarbon,1,0.00
radio411,1,0.00
rachmaninoff,1,0.00
rachinsky,1,0.00
rachel,1,0.00
quotations,1,0.00
quite,1,0.00
protester,1,0.00
quasireligious,1,0.00
quash,1,0.00
quartz,1,0.00
qualifications,1,0.00
qs,1,0.00
qiaomei,1,0.00
qajar,1,0.00
q,1,0.00
putsch,1,0.00
putinism258,1,0.00
prizewinning,1,0.00
profile,1,0.00
produktsii,1,0.00
producing,1,0.00
produces,1,0.00
producers,1,0.00
producer392,1,0.00
producer378,1,0.00
proclaims,1,0.00
procedia,1,0.00
problem332,1,0.00
probe,1,0.00
profits,1,0.00
prisoners,1,0.00
prison344345346,1,0.00
prison,1,0.00
prior,1,0.00
principalities60,1,0.00
princess,1,0.00
prina,1,0.00
primer,1,0.00
prigozhin,1,0.00
prices384,1,0.00
pronavalny,1,0.00
protestants25,1,0.00
protected,1,0.00
prosvescheniye,1,0.00
prosperous,1,0.00
prospered,1,0.00
prosper,1,0.00
prospective,1,0.00
proprussian,1,0.00
proposed,1,0.00
proponent,1,0.00
property,1,0.00
ragino,1,0.00
promulgated,1,0.00
prolonged,1,0.00
prokopyeva,1,0.00
prokofiev,1,0.00
prokhorova,1,0.00
prokhorov,1,0.00
projects,1,0.00
programme436,1,0.00
programme,1,0.00
program496,1,0.00
regions207,1,0.00
released,1,0.00
release,1,0.00
relationship286,1,0.00
relationship,1,0.00
rejecting,1,0.00
reinvented,1,0.00
reiman,1,0.00
reigns,1,0.00
reid,1,0.00
reich,1,0.00
regulate,1,0.00
releasing,1,0.00
region473,1,0.00
region402,1,0.00
regimes,1,0.00
regards,1,0.00
regardless,1,0.00
refugees,1,0.00
refining,1,0.00
referendum197,1,0.00
refashion,1,0.00
reeder,1,0.00
renaissance,1,0.00
repressive,1,0.00
representatives,1,0.00
representationtwo,1,0.00
representations,1,0.00
representation,1,0.00
replacement,1,0.00
repin,1,0.00
repercussions,1,0.00
repelled,1,0.00
repay,1,0.00
reorganised,1,0.00
reduces,1,0.00
removing,1,0.00
remoteness,1,0.00
remnick,1,0.00
remnants,1,0.00
remembered,1,0.00
relying,1,0.00
relocated,1,0.00
religiousofficial,1,0.00
relies,1,0.00
relief,1,0.00
rate500,1,0.00
rd,1,0.00
razhev,1,0.00
raymond,1,0.00
raven,1,0.00
ratios,1,0.00
rational,1,0.00
ratifying,1,0.00
ratified,1,0.00
rather,1,0.00
rates451,1,0.00
rated,1,0.00
reach,1,0.00
rastrelli,1,0.00
rare,1,0.00
rapidly,1,0.00
rankings,1,0.00
rand,1,0.00
raising,1,0.00
raised,1,0.00
railway441,1,0.00
ragsdale,1,0.00
ragozin,1,0.00
receipts,1,0.00
redesigning,1,0.00
records,1,0.00
recognizes,1,0.00
recognized,1,0.00
recognition,1,0.00
recognising,1,0.00
reclassifying,1,0.00
recentralization,1,0.00
recently,1,0.00
recent,1,0.00
prices,1,0.00
rec,1,0.00
rebecca,1,0.00
realists,1,0.00
realist,1,0.00
realism628,1,0.00
realised,1,0.00
real,1,0.00
reagan,1,0.00
read,1,0.00
reaching,1,0.00
persist,1,0.00
phd,1,0.00
petrukhina,1,0.00
petrovich,1,0.00
petrograd,1,0.00
petr,1,0.00
pervades,1,0.00
personnel295296,1,0.00
personnel,1,0.00
personifications,1,0.00
personal,1,0.00
persistent,1,0.00
phelps,1,0.00
persian,1,0.00
persia5859,1,0.00
perrie,1,0.00
perov,1,0.00
permitted,1,0.00
perminov,1,0.00
permafrost237,1,0.00
permafrost,1,0.00
perkins,1,0.00
peristov,1,0.00
pioneered,1,0.00
pl,1,0.00
pjotr,1,0.00
pivot,1,0.00
pivi,1,0.00
pirro,1,0.00
pirozhki603,1,0.00
pirogov,1,0.00
pirie,1,0.00
pirates,1,0.00
pipes,1,0.00
pioneering,1,0.00
perished,1,0.00
pioneer420,1,0.00
pifer,1,0.00
pichler,1,0.00
pi,1,0.00
physics417,1,0.00
physics,1,0.00
photonics,1,0.00
philosophers,1,0.00
philosopher,1,0.00
phillips,1,0.00
pasternak,1,0.00
pbc,1,0.00
pazyryk47,1,0.00
paying,1,0.00
paving,1,0.00
patterson,1,0.00
pathology,1,0.00
path,1,0.00
pate,1,0.00
pastoralist,1,0.00
pastoralism,1,0.00
pastime,1,0.00
pbs,1,0.00
passes,1,0.00
passed,1,0.00
partners,1,0.00
partlett,1,0.00
partition,1,0.00
particularly,1,0.00
participation,1,0.00
partiallyrecognised,1,0.00
part446,1,0.00
parliaments,1,0.00
pelmeni607,1,0.00
periods,1,0.00
perilous,1,0.00
perhaps,1,0.00
performers,1,0.00
perfect,1,0.00
perelmans,1,0.00
perelman,1,0.00
perceived,1,0.00
peoples49,1,0.00
peoples459460,1,0.00
penal,1,0.00
plagued,1,0.00
pellegrinelli,1,0.00
peculiarities,1,0.00
pechora,1,0.00
pechenegs,1,0.00
peasants,1,0.00
peacefully,1,0.00
peaceful101,1,0.00
peace569,1,0.00
peace406,1,0.00
pd,1,0.00
powered,1,0.00
pravikova,1,0.00
pravda49,1,0.00
pravda,1,0.00
prakash,1,0.00
pragmatism,1,0.00
practise,1,0.00
pozharsky76,1,0.00
pozharsky,1,0.00
pows,1,0.00
powers179,1,0.00
powerhouse,1,0.00
predatory,1,0.00
power282,1,0.00
power271,1,0.00
power253254,1,0.00
power151,1,0.00
poverty175,1,0.00
poverty,1,0.00
postnapoleonic,1,0.00
postmortem,1,0.00
possibly,1,0.00
possibility,1,0.00
preserving,1,0.00
price,1,0.00
prfer,1,0.00
previous,1,0.00
preventing,1,0.00
prevailing,1,0.00
pretenders,1,0.00
presidents252,1,0.00
president263,1,0.00
president248,1,0.00
president247,1,0.00
presided,1,0.00
positive,1,0.00
preserved,1,0.00
presented,1,0.00
presentday,1,0.00
presence,1,0.00
preschool,1,0.00
premodern,1,0.00
premier,1,0.00
prelude,1,0.00
prehistory,1,0.00
preeminence,1,0.00
pleistocene,1,0.00
poland128,1,0.00
poetic,1,0.00
poet,1,0.00
pocketbook,1,0.00
plutocracy330,1,0.00
pluto220,1,0.00
pluto,1,0.00
pluralism,1,0.00
plunged,1,0.00
plummeted,1,0.00
plokhy,1,0.00
polands,1,0.00
playwrights,1,0.00
plays,1,0.00
players650,1,0.00
player,1,0.00
platoff,1,0.00
plants418,1,0.00
plants,1,0.00
plant393,1,0.00
planets,1,0.00
plain,1,0.00
politicized,1,0.00
portrayed,1,0.00
portion,1,0.00
populism590,1,0.00
population49,1,0.00
pompeii,1,0.00
polymath,1,0.00
polyakova,1,0.00
polotsk,1,0.00
polly,1,0.00
politico,1,0.00
reproductive,1,0.00
politici,1,0.00
politicaladministrative,1,0.00
politeja,1,0.00
polina,1,0.00
policing,1,0.00
policies246,1,0.00
policemen,1,0.00
police,1,0.00
poles,1,0.00
pole,1,0.00
seat,1,0.00
seize,1,0.00
sees,1,0.00
seeks,1,0.00
seekh,1,0.00
seeing,1,0.00
seddon,1,0.00
sectors,1,0.00
secretary,1,0.00
secret,1,0.00
secondarylevel,1,0.00
secondary,1,0.00
selecta,1,0.00
seaside,1,0.00
seasg225,1,0.00
seas56failed,1,0.00
seas,1,0.00
search,1,0.00
sean,1,0.00
sea371,1,0.00
scriabin,1,0.00
score,1,0.00
scope,1,0.00
separated,1,0.00
serious,1,0.00
series,1,0.00
serhy,1,0.00
serhii,1,0.00
serge,1,0.00
serfs,1,0.00
serbia104,1,0.00
serbia,1,0.00
sequesters,1,0.00
sequester,1,0.00
sepulchre,1,0.00
sco275,1,0.00
semyon,1,0.00
semisovereign,1,0.00
semifinals,1,0.00
semidesert,1,0.00
semiconductor,1,0.00
semiarid,1,0.00
selfharm,1,0.00
selfgovernment,1,0.00
selective,1,0.00
selection,1,0.00
sales,1,0.00
sanctioned,1,0.00
sanatoriums,1,0.00
sanatorium,1,0.00
samovars,1,0.00
samesex,1,0.00
samarin,1,0.00
